"Doctor","Medical Condition","Hospital"
"Aaron Acevedo","Obesity","Cervantes, and Mckenzie Byrd"
"Aaron Adams","Cancer","LLC Boyle"
"Aaron Aguilar","Arthritis","Hess White and Drake,"
"Aaron Alexander","Asthma","Richardson-Juarez"
"Aaron Anderson","Arthritis","Miller-Stanton"
"Aaron Arnold","Diabetes","Parrish Ltd"
"Aaron Baker","Cancer","Peters LLC"
"Aaron Baker","Diabetes","PLC White"
"Aaron Barker","Diabetes","Hernandez Short Cooper, and"
"Aaron Barrett","Diabetes","Strickland Richards and Benjamin,"
"Aaron Barry","Asthma","Gomez-Thompson"
"Aaron Bates","Obesity","and Hawkins Bryant Fowler,"
"Aaron Becker","Cancer","and Payne Graves Torres,"
"Aaron Brown","Arthritis","Ltd Sims"
"Aaron Brown","Arthritis","Adams-Flynn"
"Aaron Brown","Asthma","Thornton, Merritt Webb and"
"Aaron Brown","Obesity","Ltd Harris"
"Aaron Brown","Cancer","Howard-Howard"
"Aaron Brown","Arthritis","Wheeler-Garcia"
"Aaron Burch","Diabetes","Williamson Brown, and Smith"
"Aaron Caldwell","Asthma","Harris PLC"
"Aaron Cardenas","Arthritis","Williamson and Hughes Franco,"
"Aaron Carter","Diabetes","Burns-Wright"
"Aaron Christensen","Cancer","Wheeler, Hicks Anderson and"
"Aaron Collins","Cancer","Rivera-Holder"
"Aaron Collins","Cancer","Brown Hansen, and Lopez"
"Aaron Cook","Cancer","Rosario Group"
"Aaron Cook","Arthritis","Ltd Hanson"
"Aaron Cooley","Hypertension","Group Garcia"
"Aaron Cunningham","Diabetes","and Parker Austin, Perez"
"Aaron Curtis","Arthritis","Mayo-Bishop"
"Aaron Curtis","Obesity","Lopez-Rivera"
"Aaron David","Diabetes","Garcia-Lopez"
"Aaron David","Asthma","Sims-Johnson"
"Aaron Davila","Diabetes","Simmons-Taylor"
"Aaron Dennis","Cancer","Johnson LLC"
"Aaron Dickson","Cancer","Jimenez PLC"
"Aaron Edwards","Arthritis","Miller-Lee"
"Aaron Esparza","Cancer","Clark Inc"
"Aaron Flores","Obesity","Rivera Group"
"Aaron Foster","Hypertension","and Flores Swanson, Wagner"
"Aaron Fox","Cancer","Clark, and Cobb Parsons"
"Aaron Garcia","Asthma","Group Nelson"
"Aaron Garcia","Asthma","Brown-Bell"
"Aaron Glover","Cancer","Green-Lloyd"
"Aaron Gomez","Asthma","Rose Anderson, and Moore"
"Aaron Greer","Diabetes","Lee-Hernandez"
"Aaron Gregory","Hypertension","LLC Woodward"
"Aaron Griffin","Obesity","Hill Sons and"
"Aaron Grimes","Obesity","Garrison Sons and"
"Aaron Hansen","Hypertension","Alexander-Moore"
"Aaron Hanson","Obesity","Wheeler Rocha and Hicks,"
"Aaron Hardy PhD","Asthma","Huang Greene Myers, and"
